,x,y
ALTAIR,5.567869615018015,2.0819659299666204
ANTARES,1.7427709878120652,4.269132029957825
AU_MIC,9.140231821616721,0.01234769394685957
BETA_PIC,9.343474878644757,0.028786713737316904
BETELGEUSE,1.733987117555765,4.2669934847731525
HD152233,9.451422669612061,0.6307105974039466
HD152314,10.150391798679832,0.8621182606480567
HD167971,6.990924961009969,2.5820178159215352
HD45677,2.4468950677806167,0.22714117546560905
HD54662,5.284950941123833,3.4048210335208373
HIP11231,8.757050475940897,0.6209022856064615
IRAS08544-4431,3.415686593063794,0.10207955210453223
IWCar,3.2850149453952926,0.2846329594621956
R_CRA,3.1273933822631785,0.9249929070188073
SCI_HD100453,6.339465995153883,0.1308276412448609
SCI_HD100546,5.322416478982122,0.20716213701159794
SCI_HD142527,7.522919730113576,0.15980485269805894
