,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
HD53680,0.7878162276531963,0.44240511076475764,0.6149987390771495,0.6292049415849928,0.5990244295314893,0.5817115195834153,0.5827588955327122,0.583806271482009,0.584853647431306,0.5859010233806028,0.5869483993298997,0.5879957752791966,0.5890431512284935,0.5900905271777903,0.5911379031270872,0.5921852790763841,0.593232655025681,0.5942800309749778,0.5953274069242748,0.7767162747311268,0.6176743473712079,0.6178323377261864,0.6179903280811649,0.6611258254960274,0.6626995858640844,0.6642733462321414,0.6658471066001984,0.6674208669682554,0.6689946273363123,0.6705683877043693,0.6721421480724263,0.6737159084404833,0.6752896688085404,0.6768634291765974,0.6784371895446544,0.6800109499127114,0.6815847102807683,0.6831584706488253,0.6847322310168823,0.6863059913849393,0.6878797517529963,0.49355435894349675,0.29922896613399724,0.3820871954487328,0.46494542476346834,0.5478036540782039,0.6306618833929394,0.713520112707675,0.6025621071578579,0.5952517243042446,0.5879413414506313,0.5806309585970179,0.5733205757434046,0.5660101928897913,0.558699810036178,0.5513894271825646,0.5440790443289513,0.536768661475338,0.5294582786217247,0.5221478957681113,0.514837512914498,0.5075271300608847,0.5002167472072714,0.49290636435365803,0.4855959815000447,0.4782855986464314,0.4709752157928181,0.46366483293920474,0.4563544500855914,0.4490440672319781,0.4417336843783648,0.43442330152475145,0.42711291867113815,0.4198025358175248,0.4124921529639115,0.4051817701102982,0.39787138725668486,0.3905610044030715,0.3832506215494582,0.3759402386958449,0.36862985584223157,0.42709506980084,0.4855602837594484,0.5268253494808275,0.5680904152022067,0.6093554809235858,0.43383974694644795,0.41121341037378156,0.3885870738011152,0.3659607372284488,0.46844084567196054,0.772106730987589,0.7562947534240052,0.7404827758604214,0.7246707982968378,0.708858820733254,0.6930468431696702,0.6772348656060865,0.6614228880425028,0.645610910478919,0.6297989329153353,0.7417357487483442
V*-RT-Cet,0.9124611720246665,0.9738803295374999,0.8999939834618647,0.8929116972359068,0.8858294110099489,0.878747124783991,0.8716648385580331,0.8645825523320753,0.8575002661061174,0.8504179798801594,0.8433356936542016,0.8362534074282437,0.8291711212022859,0.822088834976328,0.81500654875037,0.8079242625244122,0.8008419762984543,0.7937596900724965,0.7866774038465385,0.7795951176205806,0.7725128313946228,0.7654305451686649,0.7583482589427071,0.7512659727167492,0.7441836864907913,0.7371014002648334,0.7300191140388755,0.7229368278129176,0.7158545415869597,0.7087722553610019,0.701689969135044,0.6946076829090861,0.6875253966831283,0.6804431104571703,0.6733608242312125,0.6662785380052546,0.6591962517792966,0.6521139655533388,0.6450316793273809,0.6379493931014231,0.662845055858295,0.6877407186151668,0.7126363813720388,0.6955012007018581,0.6783660200316772,0.6612308393614965,0.6440956586913157,0.626960478021135,0.6098252973509541,0.5926901166807734,0.5755549360105927,0.5584197553404119,0.5412845746702312,0.5114042639912503,0.4815239533122694,0.4516436426332885,0.4340574435990637,0.41647124456483886,0.3988850455306141,0.3812988464963893,0.3637126474621645,0.34612644842793966,0.32854024939371484,0.3109540503594901,0.2933678513252652,0.27578165229104046,0.25819545325681564,0.24060925422259083,0.22302305518836604,0.20543685615414123,0.18785065711991641,0.18978472180437136,0.1917187864888263,0.19365285117328124,0.1955869158577362,0.18737857774750405,0.17917023963727188,0.17096190152703974,0.1627535634168076,0.15454522530657544,0.1463368871963433,0.13812854908611116,0.12992021097587902,0.12171187286564686,0.11350353475541472,0.10529519664518257,0.09708685853495042,0.08887852042471828,0.08067018231448612,0.07246184420425399,0.06425350609402183,0.056045167983789695,0.04783682987355753,0.03962849176332539,0.03142015365309325,0.023211815542861086,0.015003477432628943,0.012002781946103155,0.009002086459577365,0.006001390973051577,0.003000695486525788,0.0
BP_CRU,0.2663156322706073,0.2540366960752074,0.2540573955282064,0.2540780949812054,0.2540987944342044,0.25411949388720345,0.25414019334020244,0.25069178831949723,0.25018114517800133,0.24967050203650537,0.24915985889500947,0.24864921575351354,0.2481385726120176,0.24762792947052167,0.24711728632902577,0.24660664318752984,0.2460960000460339,0.24558535690453798,0.24507471376304207,0.24456407062154614,0.2440534274800502,0.24354278433855428,0.24303214119705835,0.24252149805556245,0.24201085491406651,0.24150021177257058,0.24098956863107465,0.24047892548957875,0.23996828234808282,0.2394576392065869,0.23894699606509096,0.23843635292359505,0.23792570978209912,0.2374150666406032,0.23690442349910726,0.23639378035761133,0.23588313721611542,0.2353724940746195,0.23486185093312356,0.23435120779162763,0.23384056465013173,0.2333299215086358,0.23281927836713986,0.26894488158665686,0.26370695836114144,0.24857133939368148,0.20962305943664208,0.21079342831072692,0.2119637971848118,0.21313416605889662,0.21430453493298146,0.21547490380706633,0.21664527268115116,0.217815641555236,0.21898601042932087,0.2201563793034057,0.22132674817749054,0.22249711705157538,0.22366748592566024,0.22483785479974508,0.22600822367382994,0.22717859254791478,0.22834896142199962,0.22951933029608446,0.23068969917016932,0.23186006804425416,0.233030436918339,0.23420080579242386,0.2353711746665087,0.23654154354059354,0.2377119124146784,0.23888228128876324,0.24005265016284807,0.24122301903693294,0.24239338791101778,0.24356375678510261,0.24473412565918745,0.24590449453327232,0.24388102221081756,0.24185754988836278,0.23983407756590802,0.23781060524345327,0.2357871329209985,0.23376366059854373,0.23174018827608897,0.22971671595363422,0.22769324363117946,0.22566977130872468,0.22364629898626992,0.22162282666381516,0.2195993543413604,0.21757588201890563,0.21555240969645087,0.2135289373739961,0.21150546505154133,0.20948199272908657,0.20745852040663182,0.20543504808417706,0.2034115757617223,0.20138810343926752,0.18186238128303583,0.09595240762969102
HD29305,1.0,0.18771267386639504,0.22864971024979683,0.26958674663319865,0.31052378301660044,0.35146081940000223,0.392397855783404,0.4333348921668058,0.4291835114956057,0.4250321308244056,0.4208807501532055,0.41672936948200534,0.41257798881080526,0.40842660813960513,0.40427522746840505,0.4001238467972049,0.3959724661260048,0.3918210854548047,0.3876697047836046,0.38351832411240444,0.37936694344120436,0.37521556277000423,0.3710641820988041,0.366912801427604,0.3627614207564039,0.35183101386156007,0.3409006069667162,0.3299702000718724,0.3190397931770286,0.30810938628218476,0.2971789793873409,0.2862485724924971,0.2753181655976532,0.2643877587028094,0.2534573518079656,0.2017620282734498,0.15006670473893405,0.17577382485087545,0.19395292313157064,0.21213202141226586,0.23031111969296109,0.24849021797365628,0.25236113920347447,0.2562320604332926,0.2601029816631108,0.263973902892929,0.2678448241227471,0.2717157453525653,0.27558666658238345,0.27945758781220165,0.28332850904201984,0.287199430271838,0.29107035150165617,0.29494127273147436,0.2988121939612925,0.3026831151911107,0.3065540364209288,0.310424957650747,0.3142958788805652,0.31816680011038334,0.32203772134020153,0.3259086425700197,0.32977956379983786,0.33365048502965605,0.33752140625947424,0.3413923274892924,0.34526324871911057,0.34913416994892876,0.3530050911787469,0.3426958163994948,0.3147287478525315,0.2867616793055682,0.2587946107586049,0.23082754221164156,0.20286047366467824,0.17489340511771495,0.14692633657075163,0.11895926802378831,0.09099219947682502,0.06302513092986167,0.08365388527340865,0.10428263961695564,0.1249113939605026,0.1455401483040496,0.16616890264759657,0.18679765699114353,0.20742641133469053,0.2280551656782375,0.24868392002178447,0.26931267436533146,0.2899414287088784,0.3105701830524254,0.3311989373959724,0.3518276917395194,0.37245644608306633,0.3610193264735764,0.3495822068640864,0.33814508725459647,0.32670796764510646,0.3152708480356165,0.30383372842612655,0.0
HD107383,0.8016122840876667,0.794676173401502,0.8073737676788826,0.8200713619562632,0.874259730083382,0.8208580411090182,0.8056181009421367,0.8502655295594863,0.8949129581768359,0.8910335834690815,0.887154208761327,0.8832748340535725,0.8793954593458181,0.8755160846380635,0.8716367099303091,0.8677573352225546,0.8638779605148001,0.8599985858070457,0.8561192110992912,0.8522398363915368,0.8483604616837823,0.8444810869760279,0.8406017122682734,0.8367223375605188,0.8328429628527644,0.8289635881450099,0.8250842134372555,0.821204838729501,0.8665522309654815,0.8572918853970098,0.8480315398285382,0.8387711942600665,0.8295108486915949,0.8202505031231232,0.8109901575546515,0.8017298119861799,0.7924694664177082,0.7848673964175139,0.7772653264173197,0.7696632564171254,0.7765732790809757,0.777311129420446,0.7780489797599162,0.7729173403161672,0.605645853679757,0.43837436704334676,0.4509972698027612,0.4636201725621757,0.4762430753215902,0.4888659780810047,0.5014888808404192,0.5141117835998337,0.5267346863592481,0.5393575891186626,0.5519804918780771,0.5646033946374915,0.577226297396906,0.5898492001563205,0.6024721029157349,0.6150950056751494,0.627717908434564,0.6403408111939785,0.6529637139533929,0.6655866167128074,0.6782095194722219,0.6908324222316363,0.7034553249910509,0.7160782277504654,0.7287011305098798,0.7413240332692943,0.7539469360287088,0.7665698387881232,0.7688515212949393,0.7711332038017552,0.7734148863085712,0.7756965688153872,0.7779782513222032,0.7815630795493796,0.781896758782827,0.7822304380162745,0.7825641172497219,0.7738737781586,0.6675204320830577,0.5611670860075153,0.454813739931973,0.5703972861376716,0.6859808323433703,0.8015643785490689,0.9171479247547676,0.89635363125794,0.8755593377611124,0.8547650442642847,0.8339707507674571,0.8131764572706295,0.7746384929283086,0.8110037042879832,0.8473689156476578,0.8837341270073324,0.8845336889349291,0.8512370142358513,0.8179403395367735,0.0
HD183324,0.5068843292016267,0.19301156450513193,0.12685396502501245,0.5243818285324235,0.4153371616606469,0.6390874671517611,0.6486415699865666,0.6581956728213721,0.6677497756561777,0.6773038784909832,0.6868579813257887,0.6964120841605941,0.7059661869953997,0.7155202898302051,0.7250743926650106,0.7346284954998161,0.7441825983346216,0.7537367011694271,0.7632908040042327,0.7728449068390382,0.7823990096738437,0.7919531125086492,0.8015072153434547,0.8110613181782602,0.8206154210130656,0.8301695238478712,0.8397236266826766,0.8492777295174821,0.8588318323522877,0.8683859351870932,0.8779400380218987,0.8874941408567042,0.9353907636763774,0.9832873864960505,0.6905240988084279,0.6852692263928273,0.6800143539772265,0.6747594815616259,0.7010497445859563,0.7273400076102867,0.7536302706346171,0.7021448124511196,0.6506593542676222,0.5140601408787758,0.37746092748992943,0.6340971399810723,0.40379821002050803,0.17349928005994375,0.29162297257855685,0.40974666509717,0.3026429113580492,0.371612179472699,0.4405814475873488,0.4739048192978233,0.4628718390625315,0.45183885882723973,0.4633570694162803,0.47487528000532087,0.48639349059436143,0.497911701183402,0.5094299117724426,0.5209481223614831,0.5324663329505237,0.5439845435395643,0.5555027541286048,0.5670209647176454,0.578539175306686,0.5900573858957265,0.6015755964847671,0.6130938070738077,0.6246120176628482,0.6361302282518888,0.6476484388409294,0.6591666494299699,0.6706848600190105,0.6822030706080511,0.6937212811970915,0.7052394917861322,0.7167577023751728,0.7282759129642132,0.7397941235532538,0.7513123341422944,0.7628305447313349,0.6856204439146718,0.6084103430980087,0.6976377971097023,0.7868652511213958,0.8025311034879465,0.8181969558544971,0.6643580507988796,0.7762387005325864,0.8881193502662932,1.0,0.618659814670367,0.626895260232654,0.6351307057949409,0.5568188979213745,0.5812002006465906,0.6055815033718067,0.6299628060970228,0.5586397131961,0.48731662029517714
KW_Hya,0.7986954684545148,0.5486809828793554,0.5429400511803213,0.6834141824922744,0.5542559554731777,0.6560851138880015,0.7712436176001196,0.7620882363671563,0.7529328551341928,0.7437774739012295,0.7346220926682661,0.7254667114353027,0.7163113302023394,0.707155948969376,0.6980005677364126,0.6888451865034493,0.6796898052704858,0.6705344240375225,0.6613790428045591,0.6522236615715957,0.6430682803386323,0.633912899105669,0.6247575178727056,0.6156021366397422,0.6064467554067788,0.5814008984731911,0.5563550415396035,0.5831887474729439,0.5503293766095636,0.5174700057461834,0.5413204118117496,0.5170236580853392,0.49272690435892885,0.5128405267101388,0.513218330727426,0.6193111848152614,0.6720714618264715,0.6554117647925148,0.6387520677585583,0.6220923707246017,0.7173033274580666,0.7236920834024154,0.8148427156699592,0.739100428342962,0.7626495408339081,0.7871934797900462,0.7014328157755008,0.7310339516375411,0.7606350874995816,0.790236223361622,0.8169927240516102,0.7949678812547678,0.8022287807598734,0.7967937047086581,0.8200331444593647,0.8006386948318286,0.7929688506489927,0.7852990064661569,0.8870793039134167,0.8083940586719708,0.7437803128301153,0.6791665669882596,0.614552821146404,0.5499390753045484,0.48532532946269286,0.42071158362083727,0.3560978377789817,0.2914840919371261,0.22687034609527046,0.16225660025341493,0.14143928740935025,0.12062197456528553,0.1289600854340587,0.13729819630283188,0.11971844384419975,0.10213869138556761,0.08455893892693546,0.0978790360817614,0.11119913323658735,0.09341391780866946,0.07562870238075156,0.05784348695283367,0.0807670640411494,0.09651234706089912,0.2623190018337108,0.42812565660652246,0.3650348919377293,0.8086379264913977,0.7458618827019815,0.6669474558965969,0.6613675866983516,0.5730817637001717,0.46438383355329166,0.5935549507145467,0.5035139170411023,0.49051996356224004,0.5725930676364023,0.43406478898552475,0.20068665537833205,0.0671202216969703,0.30202896360575127,0.8563664235451081
HD135591,0.3828382111653955,0.5447242319348977,0.5514136806168997,0.5581031292989015,0.5647925779809034,0.5714820266629053,0.5781714753449072,1.0,0.9943717452248027,0.9887434904496053,0.9831152356744078,0.9774869808992105,0.9718587261240131,0.9662304713488158,0.9606022165736184,0.954973961798421,0.9493457070232236,0.9437174522480263,0.9380891974728289,0.9324609426976316,0.9268326879224341,0.9212044331472368,0.9155761783720394,0.9099479235968421,0.9043196688216446,0.8986914140464473,0.8930631592712499,0.8874349044960526,0.8818066497208552,0.8761783949456579,0.8705501401704604,0.864921885395263,0.8592936306200657,0.8536653758448683,0.8480371210696709,0.8424088662944735,0.8367806115192762,0.8311523567440788,0.6976991828330623,0.5642460089220457,0.4307928350110291,0.29733966110001253,0.1638864871889959,0.28568932811390246,0.4074921690388091,0.5292950099637157,0.6510978508886223,0.473345428284124,0.29559300567962576,0.294828615589891,0.29406422550015615,0.2932998354104214,0.2925354453206866,0.29177105523095176,0.291006665141217,0.2902422750514822,0.28947788496174737,0.2887134948720126,0.2879491047822778,0.287184714692543,0.2864203246028082,0.2856559345130734,0.28489154442333864,0.2841271543336038,0.283362764243869,0.28259837415413425,0.2818339840643994,0.28106959397466463,0.28030520388492985,0.279540813795195,0.27877642370546024,0.27801203361572546,0.27724764352599063,0.27648325343625585,0.13824162671812792,0.0,0.0002411268143300422,0.0004822536286600844,0.0007233804429901266,0.0009645072573201688,0.001205634071650211,0.0014467608859802532,0.0016878877003102955,0.0019290145146403377,0.00217014132897038,0.002411268143300422,0.0026523949576304643,0.0028935217719605064,0.0031346485862905485,0.003375775400620591,0.003616902214950633,0.0038580290292806753,0.004099155843610718,0.00434028265794076,0.004581409472270802,0.004822536286600844,0.005063663100930886,0.0053047899152609285,0.005545916729590971,0.005787043543921013,0.16899172588691788,0.33219640822991475
HD148937,0.9970103123351836,0.3948336420382236,0.3866745130688674,0.37851538409951124,0.37035625513015513,0.36219712616079897,0.3540379971914428,0.34587886822208663,0.33771973925273047,0.32956061028337436,0.3214014813140182,0.2287051182367844,0.1360087551595506,0.043312392082316825,0.9095922456796729,0.9555139698999507,0.554489914546807,0.5640602730833446,0.5736306316198821,0.5867551008299714,0.5998795700400605,0.6130040392501498,0.6495142219251531,0.6860244046001562,0.22521833749984752,0.18191268773597813,0.13860703797210874,0.21840868719530887,0.298210336418509,0.3780119856417091,0.45781363486490934,0.5376152840881094,0.6174169333113095,0.6972185825345097,0.7770202317577098,0.5302437827070021,0.28346733365629434,0.03669088460558657,0.04869311817557927,0.06069535174557197,0.24535435927125593,0.43001336679693986,0.6146723743226238,0.5209149212753287,0.4271574682280336,0.33340001518073853,0.23964256213344343,0.14588510908614832,0.052127656038853276,0.09173945331800293,0.13135125059715258,0.019970406870969834,0.49662968271745694,0.716390644494171,0.936151606270885,0.8457228294031132,0.8592515663346717,0.8727803032662302,0.32927897666381656,0.20208931805183314,0.07489965943984972,0.9856244045014445,0.8075106423603082,0.629396880219172,0.9879650696090505,0.7427493727852027,0.4975336759613549,0.3316891173075699,0.16584455865378495,0.0,0.11540307785507495,0.2308061557101499,0.3462092335652248,0.4616123114202998,0.5770153892753748,0.6391611331030794,0.701306876930784,0.7634526207584886,0.5782862533926116,0.3931198860267346,0.957201675705857,0.8718318071409236,0.7864619385759901,0.7010920700110567,0.5302593845915103,0.5361015498889921,0.7847543424567864,0.597022498021773,0.5707630767344086,0.4798193009150061,0.4796435165567241,0.4390586555605184,0.39847379456431264,0.35788893356810686,0.31730407257190113,0.43018350333884753,0.5430629341057939,0.6559423648727403,0.060250011678291894,0.23922209963232177,0.4181941875863517,0.5971662755403816
HD319699,0.7235980466245674,0.28467073955912764,0.26277299036227164,0.2408752411654157,0.2189774919685597,0.19707974277170376,0.17518199357484776,0.1532842443779918,0.13138649518113582,0.10948874598427985,0.08759099678742388,0.06569324759056791,0.04379549839371194,0.021897749196855942,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0,0.969917859370808,0.9398357187416161,0.9097535781124241,0.8796714374832321,0.8495892968540402,0.8195071562248482,0.7894250155956561,0.7593428749664642,0.7292607343372722,0.6991785937080803,0.6690964530788883,0.6390143124496963,0.6089321718205043,0.5788500311913124,0.5487678905621204,0.5186857499329285,0.4886036093037365,0.45852146867454446,0.42843932804535256,0.39835718741616055,0.36827504678696854,0.33819290615777664,0.30811076552858463,0.2780286248993926,0.24794648427020072,0.2178643436410087,0.1877822030118167,0.1577000623826248,0.12761792175343284,0.12662558136407076,0.12563324097470868,0.12464090058534662,0.12364856019598454,0.12265621980662246,0.12166387941726038,0.12067153902789832,0.11967919863853624,0.11868685824917416,0.11769451785981208,0.11670217747045002,0.11570983708108794,0.11471749669172586,0.11372515630236378,0.11273281591300172,0.11174047552363964,0.11074813513427756,0.10739916781695816,0.10405020049963876,0.10070123318231936,0.09735226586499995,0.09400329854768055,0.09065433123036115,0.08730536391304175,0.08395639659572235,0.08060742927840295,0.07725846196108355,0.07390949464376415,0.07056052732644476,0.06721156000912536,0.06386259269180596,0.060513625374486554,0.05716465805716715,0.05381569073984775,0.05046672342252835,0.04711775610520895,0.04376878878788955,0.04041982147057015,0.037070854153250746,0.033721886835931345,0.030372919518611957,0.027023952201292556,0.023674984883973155,0.020326017566653753,0.016977050249334352,0.013628082932014951,0.01027911561469555,0.006930148297376155
