,x,y
HD53680,10.58866353313624,0.018404210220416994
V*-RT-Cet,10.36440727840223,0.047646534257497486
BP_CRU,6.3030891383808365,0.01636321876841107
HD29305,5.474013594887358,0.10526245041464377
HD107383,14.656254839744527,0.04711240218992103
HD183324,12.0179209918863,0.029782036078664996
KW_Hya,10.383508906331071,0.577857852217811
HD135591,10.548981487106607,0.07786347245576154
HD148937,9.21523181073602,3.1697819314396374
HD319699,8.37292404904547,0.027551600273549307
HD68146,8.01290057730494,0.13226771308765498
HD210191,9.778904266321295,0.018928828128942074
IRAS_15469-5311,2.706455722096856,0.17637704587451528
GAM_PAV,8.621549156814375,0.037124140292349235
HD14228,11.708929369504757,0.04411011316569542
psi_Cen,8.300240047539456,0.6630411552539279
HIP55300,5.3998457954506405,0.2562917116415385
HD41004,8.098992640427749,0.057124691860034285
HD223640,8.881984830078377,0.01693931307859876
HD28497,8.458029822460128,0.02396606345361054
HD101190,9.983877909008195,1.1225988804051377
AI_Sco,5.9023121102379426,0.23576179741760658
HD109573,9.368643990536642,0.029179470242341625
HD210418,9.297299973384195,0.014893664868140548
Cl_Trumpler_16_244,9.08046643283613,0.04077772915547004
HIP118121,10.743171642310282,0.04844866681790984
HD65430,10.049485449732968,0.02577442218543021
HD91572,4.167574844296578,0.02520277122829449
HD142184,6.140680284748458,0.053548857550363024
chi_Eri,9.771000210885944,0.10294222992554415
CO_ORI,8.600392001354969,0.28125203611918
HD103742,10.267201906944967,0.03883515218132603
HD131977,10.035170419309685,0.030723445002218013
ACHERNAR,11.033944921039014,0.04450946041805016
HD152314,11.139044598602025,0.7718518735827864
HD31203,7.288014322117993,0.09924320002011311
V1075_Sco,8.811293333665198,2.54117221155868
BD+25697,4.451258804626913,0.14633901637368815
eps_Psc,8.190968008422995,0.034042741241320854
HD64760,7.914022784696461,0.027035438855116303
IRAS22327-1731,7.3792597428069415,0.09778045295784218
HD8887,9.98890818987159,0.158124407224017
V4090_Sgr,9.998401993702828,0.2801736957442915
EM__SR21,6.867287336767525,0.11803935144787923
HD76341,10.441472480721172,0.036332053761091346
HD206860,11.846649550159446,0.012996141371767522
HD37061,10.783944651794801,0.41225631071815055
TW_HYA,6.676868316479036,0.05793052531893172
eta_Aql,9.499538149243502,0.030296393131823206
HD118972,11.113675524828587,0.019581290425786102
HD8558,10.061274872701738,0.035261214766751335
HR4049,2.7922037368494586,0.04453820847381636
HD210302,9.903226895081273,0.018681249100311565
T_PYX,8.770774208156054,0.05292587908155492
HD94910,8.324974972659993,0.036931275557022844
V2056_ORI,8.340013531388538,0.19124685230977337
HD199728,7.0651085423935305,0.031173717880861984
HD955,7.979028118702369,0.061689616664754275
_GKF2010_MN48,10.142115801106211,0.05018542273627194
HD216494,3.655643414731548,1.1168483678323442
HD141569,10.046612635737587,0.04964208171305278
M05_HD72913,9.713722917121073,0.0645037638132236
HD33802,5.212481102548668,0.1351231107131122
MWC147,6.380620418640593,0.04630269091636852
HD67848,10.730004504762727,0.024243507444056588
HD42111,10.727450922603186,0.025633754456845577
HD56160,8.432200672062985,0.0135960933221525
HDE_322417,9.900224399298276,0.035471414669823
HD101431,9.272997306187474,0.035586916955600637
HD24649,10.246932196034633,0.025236309464735394
GJ433,10.042733228448908,0.09477823899301972
HD293782,5.204439790988944,0.04086996802041303
HD74535,5.279056782684044,0.035266956854346145
KAP01_CET,9.264527630838028,0.030531274470935267
HD105912,10.723433293275956,0.05697954084686129
ETA_CAR,4.077841103271029,0.19039783930820536
HD92607,7.329329162985309,0.030720384026459217
HD183936,10.749764787267328,0.09645960123296225
HD4128,3.2447479699932846,0.028961970251600185
HIP86098,3.0415526527432384,0.1352830394592869
HD120136,9.498306820655962,0.014863690728604016
V380_ORI,9.358089743917457,0.6959031864684883
BET_PSC,9.63650947112387,0.04415162687548142
l_Car,9.431311554745058,1.0284315074994212
HD184932,10.769842286335697,0.11263443180911509
AR_PUP,0.0,0.0
AX_Cir,9.643104943043207,0.05300305665852026
HD105382,9.812865232796462,0.16770039724070868
HD156738,7.721478353761802,0.8685491598817368
HD136202,11.471211109772325,0.02286911865977583
EPS_CAP,7.443384026058931,0.07960488585956547
HD17051,13.156990190578348,0.014885294320860741
HD93222,8.710251449663705,1.8641541362093388
HD244604,4.261447023496728,0.010010223174413135
HD49518,9.50516714875124,0.025372759882537503
alf_Aqr,7.914514440119024,0.014089683938361075
HD51986,7.7637814268146,0.9044860740162802
M05_HD54792,7.429340769307289,0.030111317393679705
HD100546,9.239480016380243,0.226809284310885
HD9540,8.763228933070991,0.059433763583105675
HD58647,8.82866836837725,0.08403312912974183
SV_Vul,6.937399619545589,0.037994337978458755
HD123590,9.942047930831952,0.0860814816487641
VY_CMA,2.228355071046611,2.5811942077074854
ZET_LEP,7.517302388568428,0.040190861793202456
51_OPH,6.464067062936074,0.05686527538842174
HD145718,6.491605724190136,0.06526060856985641
HD30501,11.198255130253818,0.09988852715836681
HD165319,7.84987396948233,0.030572006708787815
T_CHA,7.829332397499121,0.047794517057089675
BD+02_2428,5.643698515006856,0.050769739762275105
V856_SCO,7.089335842299653,0.4196058502815422
HD10939,9.047919533853515,0.035138112915378286
HD220572,5.988654326007975,0.0939695787953596
ZCMaHBe,3.395017589247939,1.6710636359471138
43_ORI,12.451201806787248,0.04881856343517364
AX-Cir,8.302534459168866,0.045217412336579804
HD126983,11.223984858759502,2.9573658159555274
HD216336,8.351502952683143,0.050905525473268404
IRAS19125+0343,4.607958789583066,0.3051828816096249
HD125241,9.028004195348938,0.06767139609801731
